Model,Training Time,Accuracy,Precision,Recall,F1 Score,AUC
SVM,1.6881542205810547,90.16999999999999,0.9020106899416145,0.9017,0.9016810037867418,0.9017000000000001
Logistic Regression,6.868844509124756,90.0,0.9002705829140499,0.9,0.8999830971434172,0.9
Naive Bayes,0.0628352165222168,88.57000000000001,0.8857096427410684,0.8857,0.885699285620535,0.8857
Random Forest,36.46821212768555,85.92999999999999,0.8605211717337435,0.8593,0.8591807528533238,0.8593
Ensemble,8.767369031906128,90.05,0.9007667663903801,0.9005,0.9004834394491587,0.9005
